,City,Country,Date,Visibility,Lon,Lat,Main Temp,Temp Feels Like,Temp Min,Temp Max,Pressure,Humidity,Wind Speed,Wind Degree,Cloudiness
84,Calvinia,ZA,1653189171,10000,19.776,-31.4707,43.5,43.5,43.5,43.5,1024,72,2.08,71,6
85,Cape Town,ZA,1653189076,10000,18.4232,-33.9258,49.95,49.95,49.1,55.11,1023,89,1.01,312,11
86,Caraquet,CA,1653189171,5814,-64.9386,47.7941,61.34,61.68,61.34,61.34,1014,96,12.39,212,100
87,Carauari,BR,1653189172,10000,-66.8958,-4.8828,71.24,72.66,71.24,71.24,1016,98,1.97,4,62
88,Carberry,CA,1653189173,10000,-99.3602,49.8689,39.76,39.76,39.76,39.76,1023,80,1.21,82,87
89,Carnarvon,AU,1653189173,10000,113.6333,-24.8667,75.92,75.88,75.92,75.92,1011,57,22.08,303,22
90,Castro,BR,1653189173,10000,-50.0119,-24.7911,44.71,44.71,44.71,44.71,1024,80,1.95,48,2
91,Cavalcante,BR,1653189173,10000,-47.4583,-13.7975,62.58,60.98,62.58,62.58,1019,52,1.43,136,0
92,Cayenne,GF,1653189001,10000,-52.3333,4.9333,78.1,75.65,75.24,78.1,1016,1,2.3,0,0
93,Cedar City,US,1653188989,10000,-113.0619,37.6775,56.37,52.61,56.37,56.37,1017,19,9.22,360,0
94,Cepu,ID,1653189174,10000,111.5906,-7.1475,83.12,90.68,83.12,83.12,1010,77,7.58,93,81
95,Chalchihuites,MX,1653189174,10000,-103.8833,23.4833,65.03,62.55,65.03,65.03,1015,28,8.28,216,0
96,Chāndbāli,IN,1653189174,10000,86.7667,20.7833,93.34,102.69,93.34,93.34,1000,52,14.56,255,71
97,Changji,CN,1653189175,10000,87.3167,44.0167,84.99,81.91,84.99,84.99,1005,17,2.24,0,0
98,Chanika,TZ,1653189175,10000,38.0167,-5.4167,63.05,63.66,63.05,63.05,1017,98,2.13,210,99
99,Chapais,CA,1653188984,10000,-74.8492,49.7834,42.58,39.2,42.58,42.58,1018,82,5.44,335,78
100,Chemal,RU,1653189176,10000,86.005,51.4111,71.76,70.75,71.76,71.76,1004,45,5.59,162,100
101,Cherskiy,RU,1653189176,10000,161.3,68.75,59.02,56.32,59.02,59.02,1015,36,14.18,161,16
102,Chibombo,ZM,1653189176,10000,28.0706,-14.6569,57.97,56.86,57.97,57.97,1016,72,4.52,214,38
103,Chifeng,CN,1653189176,10000,118.9636,42.2683,77.63,75.88,77.63,77.63,1007,17,6.82,80,4
104,Chivilcoy,AR,1653188943,10000,-60.0167,-34.8957,50.88,47.97,50.88,50.88,1021,49,2.13,156,0
105,Chokurdakh,RU,1653189177,55,147.9167,70.6333,34.48,34.48,34.48,34.48,1013,100,1.41,142,100
106,Churapcha,RU,1653189177,10000,132.4325,62.0025,54.46,51.64,54.46,54.46,1009,43,7.78,133,18
107,Chui,UY,1653189177,10000,-53.4616,-33.6971,50.88,49.89,50.88,50.88,1021,90,5.91,276,100
108,Cidreira,BR,1653189075,10000,-50.2056,-30.1811,56.68,55.76,56.68,56.68,1022,79,5.3,351,94
109,Charter Township of Clinton,US,1653189178,10000,-82.9199,42.587,65.21,65.28,59.4,68.32,1018,82,5.75,20,100
110,Clyde River,CA,1653189178,10000,-68.5914,70.4692,19.63,8.91,19.63,19.63,1001,93,9.22,340,100
111,Coyhaique,CL,1653189113,8000,-72.0662,-45.5752,33.75,33.75,33.75,34.41,1001,93,2.3,0,100
112,Conakry,GN,1653189178,10000,-13.6773,9.538,79.38,79.38,79.38,79.38,1013,82,5.35,304,100
113,Constitución,CL,1653189178,10000,-72.4167,-35.3333,53.26,51.48,53.26,53.26,1022,68,4.05,190,100
114,Copainalá,MX,1653189179,10000,-93.2,17.0833,76.21,76.62,76.21,76.21,1014,66,4.47,159,100
115,Coquimbo,CL,1653189179,9000,-71.3436,-29.9533,53.33,53.06,53.33,53.33,1020,100,3.44,150,75
116,Cukai,MY,1653189091,10000,103.4167,4.25,86.65,96.21,86.65,86.65,1008,69,4.23,193,86
117,Daia,RO,1653189180,10000,25.9833,44.0,65.59,66.04,65.21,67.08,1010,89,3.49,202,38
118,Dakar,SN,1653188940,10000,-17.4441,14.6937,70.68,71.31,70.68,70.68,1013,82,14.72,328,97
119,Dalkola,IN,1653189180,10000,87.85,25.85,81.32,85.19,81.32,81.32,1000,70,11.92,91,58
120,Daşoguz,TM,1653188953,10000,59.9666,41.8363,63.07,61.05,63.07,63.07,1018,42,5.93,324,85
121,Davila,PH,1653189180,10000,120.5763,18.4726,83.44,89.89,83.44,83.44,1008,72,4.59,245,100
122,Deputatsky,RU,1653188931,87,139.9,69.3,30.97,30.97,30.97,30.97,1013,100,1.36,104,100
123,Det Udom,TH,1653189180,10000,105.0784,14.906,86.95,99.55,86.95,86.95,1005,83,10.54,180,100
124,Dikson,RU,1653189181,10000,80.5464,73.5069,27.77,18.16,27.77,27.77,1014,90,10.6,21,52
125,Dingle,PH,1653189181,10000,122.6711,10.9995,84.43,92.5,84.43,84.43,1008,73,6.49,200,100
126,Dondo,MZ,1653189182,10000,34.7431,-19.6094,68.14,69.26,68.14,68.14,1014,98,3.47,280,48
127,Dongsheng,CN,1653189183,10000,109.9776,39.8161,72.5,70.86,72.5,72.5,1006,30,14.07,181,54
128,Dunedin,NZ,1653189183,10000,170.5036,-45.8742,52.81,50.61,52.81,52.81,1001,60,14.0,216,100
129,Dunhua,CN,1653189183,10000,128.2425,43.3725,68.72,66.94,68.72,68.72,1007,35,6.29,356,6
130,Dunmore Town,BS,1653189184,10000,-76.65,25.5,78.96,78.96,78.96,78.96,1023,89,15.93,114,15
131,Dwārka,IN,1653189184,10000,68.9678,22.2394,83.55,91.4,83.55,83.55,1003,76,23.87,253,34
132,East London,ZA,1653189184,10000,27.9116,-33.0153,59.65,58.93,59.65,59.65,1024,77,2.77,305,59
133,Eenhana,NA,1653189185,10000,16.3333,-17.4667,44.8,40.84,44.8,44.8,1020,28,7.16,90,0
134,Effingham County,US,1653189046,10000,-81.3332,32.3669,73.04,74.46,72.86,75.65,1022,94,8.95,177,98
135,Egvekinot,RU,1653189185,10000,-179.1667,66.3167,48.06,48.06,48.06,48.06,1020,50,2.77,84,58
136,Ekhabi,RU,1653189186,2655,142.9671,53.5102,36.18,36.18,36.18,36.18,1008,98,1.77,209,100
137,Erzin,TR,1653189186,10000,36.2,36.9559,68.72,66.76,68.72,68.72,1009,31,7.7,91,3
138,Esperance,AU,1653189186,10000,121.9,-33.8667,72.19,71.46,72.19,72.19,1010,50,17.25,33,26
139,Eureka,US,1653189186,10000,-124.1637,40.8021,52.39,51.19,49.39,54.19,1019,82,8.01,304,26
140,Eydhafushi,MV,1653189187,10000,73.0708,5.1033,82.99,90.37,82.99,82.99,1010,77,14.58,262,59
141,Faanui,PF,1653189187,10000,-151.75,-16.4833,80.87,84.4,80.87,80.87,1013,70,10.49,70,11
142,Fagernes,NO,1653189187,10000,9.2324,60.9858,45.91,45.91,45.91,45.91,1013,95,1.95,292,100
143,Fairbanks,US,1653189130,10000,-147.7164,64.8378,69.46,67.57,65.82,72.61,1014,31,11.5,60,75
144,Fare,PF,1653189188,10000,-151.0167,-16.7,80.31,83.73,80.31,80.31,1014,72,10.22,78,6
145,Faya,SA,1653189188,10000,42.4509,18.3851,67.39,64.44,67.39,67.39,1015,13,6.26,94,43
146,Flums,CH,1653189188,10000,9.343,47.0906,62.02,61.77,56.21,63.72,1018,82,4.14,184,16
147,Fortuna,US,1653189188,10000,-124.1573,40.5982,51.76,50.74,49.12,53.92,1021,87,14.97,310,100
148,Nishifukuma,JP,1653189189,10000,130.4667,33.7667,80.69,83.35,78.8,86.29,1008,65,11.59,266,0
149,Kiryat Gat,IL,1653189189,10000,34.7642,31.61,68.58,69.84,67.08,69.4,1013,100,7.52,257,90
150,Gazojak,TM,1653189189,10000,61.4036,41.1875,63.64,61.54,63.64,63.64,1018,39,8.32,294,81
151,George Town,MY,1653189190,9000,100.3354,5.4112,87.73,100.33,86.95,87.73,1008,74,3.44,120,20
152,Geraldton,AU,1653189190,10000,114.6,-28.7667,79.21,79.21,79.21,79.21,1005,50,21.85,360,12
153,Gizo Government Station,SB,1653189190,10000,156.8419,-8.103,85.3,91.87,85.3,85.3,1008,66,5.17,47,19
154,Goderich,CA,1653189075,10000,-81.7165,43.7501,53.91,53.31,53.91,53.91,1016,92,4.72,77,100
155,Gornopravdinsk,RU,1653189191,10000,69.9,60.05,55.09,53.64,55.09,55.09,993,71,13.51,104,96
156,Graaff-Reinet,ZA,1653189191,10000,24.5308,-32.2522,48.92,48.43,48.92,48.92,1024,96,3.02,47,19
157,Grand Gaube,MU,1653189191,10000,57.6608,-20.0064,70.38,70.83,70.38,70.38,1018,79,1.99,186,3
158,Grand Island,US,1653189112,10000,-98.342,40.925,47.84,46.83,46.62,50.2,1025,51,3.44,330,0
159,Grenå,DK,1653189193,10000,10.8783,56.4158,50.25,49.5,49.95,52.02,1014,96,14.52,279,96
160,Grindavik,IS,1653189193,10000,-22.4338,63.8424,43.27,35.13,43.27,43.27,1004,87,18.41,20,0
161,Guarapari,BR,1653189193,10000,-40.4975,-20.6667,64.96,65.01,64.96,64.96,1024,82,4.45,265,37
162,Gubkinskiy,RU,1653189193,10000,76.5026,64.434,46.49,41.5,46.49,46.49,1009,61,10.49,110,100
163,Guerrero Negro,MX,1653189194,10000,-114.0611,27.9769,61.25,60.69,61.25,61.25,1015,77,14.2,331,92
164,Gushikawa,JP,1653189194,10000,127.8686,26.3544,79.66,79.66,78.03,80.19,1009,66,10.36,110,75
165,Hailar,CN,1653189194,10000,119.7,49.2,75.78,73.85,75.78,75.78,1002,17,18.41,225,79
166,Haines Junction,CA,1653189195,10000,-137.5108,60.7522,55.94,52.83,55.94,55.94,1018,34,5.35,231,22
167,Half Moon Bay,US,1653189195,4828,-122.4286,37.4636,56.53,55.31,50.95,67.53,1016,73,20.71,300,0
168,Hamilton,US,1653188962,10000,-84.5333,39.1834,65.25,65.98,63.84,66.6,1017,96,4.61,260,40
169,Hammerfest,NO,1653189195,10000,23.6821,70.6634,43.25,43.25,43.25,43.25,1011,75,2.3,60,20
170,Hasaki,JP,1653189196,10000,140.8333,35.7333,70.2,70.77,70.2,70.2,1005,82,21.16,5,98
171,Hashtrūd,IR,1653189196,10000,47.0508,37.4779,51.94,49.1,51.94,51.94,1016,48,1.57,109,87
172,Havre-St-Pierre,CA,1653189196,10000,-63.5986,50.2334,52.16,51.44,52.16,52.16,1012,93,4.61,70,100
173,Heinola,FI,1653189197,10000,26.0381,61.2056,39.99,37.49,39.99,39.99,1015,63,3.8,87,10
174,Henties Bay,NA,1653189197,10000,14.2845,-22.116,56.86,55.44,56.86,56.86,1016,68,4.63,102,0
175,Hermanus,ZA,1653189197,10000,19.2345,-34.4187,56.21,55.24,56.21,56.21,1024,79,6.98,337,24
176,Herne Bay,GB,1653189198,10000,1.1286,51.373,48.65,47.66,46.42,54.41,1016,92,3.56,268,62
177,Heubach,DE,1653189198,10000,9.9337,48.7927,46.9,46.9,43.25,49.05,1019,84,2.46,128,11
178,High Level,CA,1653188913,10000,-117.136,58.5169,57.04,54.03,57.04,57.04,1015,34,6.35,288,100
179,Hilo,US,1653189158,10000,-155.09,19.7297,76.91,77.74,74.62,86.29,1019,73,6.91,70,100
180,Hithadhoo,MV,1653189198,10000,73.0833,-0.6,83.1,88.32,83.1,83.1,1010,69,9.98,286,100
181,Hobart,AU,1653188961,10000,147.3294,-42.8794,51.75,50.09,49.86,56.26,1026,74,12.66,330,75
182,Hobyo,SO,1653189151,10000,48.5268,5.3505,79.65,79.65,79.65,79.65,1010,78,16.96,219,67
183,Hofn,IS,1653189199,10000,-15.2082,64.2539,46.67,40.19,46.67,46.67,1002,86,15.73,352,100
184,Hope,US,1653188999,4622,-93.5916,33.6671,82.45,94.91,82.45,82.45,1015,96,9.95,202,100
185,Horki,BY,1653189199,10000,30.9842,54.2861,45.59,38.98,45.59,45.59,1000,95,15.03,61,100
186,Hornostayivka,UA,1653189199,10000,33.729,47.0078,61.34,61.18,61.34,61.34,1005,85,12.48,301,100
187,Khovd,MN,1653189199,10000,91.6419,48.0056,66.07,63.27,66.07,66.07,1011,19,3.02,76,74
188,Huéscar,ES,1653189200,10000,-2.5412,37.811,67.12,64.62,67.12,67.12,1016,23,5.61,77,99
189,Ilām,NP,1653189200,10000,87.9167,26.9167,73.56,73.72,73.56,73.56,1003,66,3.94,132,95
190,Illela,NG,1653189200,10000,5.2975,13.7292,86.09,85.14,86.09,86.09,1009,38,7.25,242,82
191,Ilulissat,GL,1653189201,10000,-51.1,69.2167,35.62,29.23,35.62,35.62,1001,75,8.05,10,100
192,Inhambane,MZ,1653189201,4599,35.3833,-23.865,69.98,70.95,69.98,69.98,1017,91,4.94,171,100
193,Inírida,CO,1653189203,10000,-67.9239,3.8653,71.49,72.99,71.49,71.49,1017,99,2.59,160,100
194,Inzhavino,RU,1653189204,10000,42.4937,52.3185,44.74,39.69,44.74,44.74,1001,86,9.57,94,100
195,Ipixuna,BR,1653189204,10000,-48.8043,-1.7625,70.25,71.58,70.25,70.25,1017,98,2.39,149,90
196,Iqaluit,CA,1653189204,10000,-68.5145,63.7506,32.7,20.12,32.7,32.7,976,86,23.0,130,100
197,Iralaya,HN,1653189205,10000,-83.2333,15.0,80.58,86.36,80.58,80.58,1015,85,16.51,122,100
198,Isangel,VU,1653189205,10000,169.2667,-19.55,79.25,79.25,79.25,79.25,1008,83,13.62,259,59
199,Itarema,BR,1653189054,10000,-39.9167,-2.9248,74.97,76.39,74.97,74.97,1015,90,7.4,119,1
200,Itatskiy,RU,1653189205,10000,89.0369,56.07,70.18,68.86,70.18,70.18,1008,42,5.57,101,5
201,Izumo,JP,1653189205,10000,132.7667,35.3667,73.54,73.36,73.54,73.54,1007,59,13.62,253,0
202,Jamestown,US,1653189206,10000,-79.2353,42.097,64.02,64.6,62.51,65.01,1017,95,5.75,60,100
203,Janikowo,PL,1653189206,10000,18.1133,52.7533,48.45,43.14,46.99,49.23,1013,95,13.13,288,29
204,Jaynagar,IN,1653189206,10000,86.15,26.5833,85.95,89.31,85.95,85.95,999,55,15.5,101,35
205,Jiblah,YE,1653189207,10000,44.1467,13.9216,67.33,64.94,67.33,67.33,1013,25,4.7,16,27
206,Jiexiu,CN,1653189207,10000,111.9125,37.0244,82.4,80.35,82.4,82.4,1006,24,2.73,311,57
207,Juneau,US,1653189080,10000,-134.4197,58.3019,56.84,54.57,56.84,61.11,1021,50,1.19,2,18
208,Kabinda,CD,1653188937,10000,24.4833,-6.1333,67.84,68.18,67.84,67.84,1013,82,1.25,251,22
209,Kaeo,NZ,1653188994,10000,173.7833,-35.1,63.57,62.69,63.57,63.57,1016,65,9.64,246,100
210,Kaitangata,NZ,1653189207,10000,169.8464,-46.2817,47.01,40.75,47.01,47.01,1003,78,15.28,254,94
211,Kaka,TM,1653189208,10000,59.6143,37.3482,63.12,61.07,63.12,63.12,1020,41,7.09,278,19
212,Kalmunai,LK,1653189208,10000,81.8167,7.4167,84.33,90.19,84.33,84.33,1007,67,1.7,272,99
213,Kamennomostskiy,RU,1653189208,10000,40.1856,44.2983,54.16,52.09,54.16,54.16,1009,60,6.11,184,24
214,Kapaa,US,1653189208,10000,-159.319,22.0752,79.63,79.63,79.12,80.58,1018,82,12.66,40,40
215,Karavayevo,RU,1653189209,10000,37.9622,55.2961,41.14,34.59,40.57,43.25,1003,60,11.18,50,0
216,Kargasok,RU,1653189209,10000,80.8572,59.0556,60.21,58.51,60.21,60.21,1005,55,16.46,116,69
217,Karratha,AU,1653189209,10000,116.8463,-20.7377,80.42,83.08,80.42,80.42,1012,66,6.58,328,100
218,Katsuura,JP,1653189210,10000,140.3,35.1333,64.11,64.02,64.11,64.11,1005,81,16.04,5,96
219,Kavaratti,IN,1653189210,10000,72.642,10.5669,83.01,91.02,83.01,83.01,1009,79,18.34,275,99
220,Kavieng,PG,1653189210,10000,150.7967,-2.5744,85.23,91.0,85.23,85.23,1008,64,13.53,80,96
221,Kenai,US,1653189210,10000,-151.2583,60.5544,64.45,61.45,64.45,65.03,1018,18,16.11,100,0
222,Ketchikan,US,1653189211,10000,-131.6461,55.3422,64.87,62.65,64.87,64.87,1022,34,8.05,140,0
223,Khatanga,RU,1653189211,10000,102.5,71.9667,35.73,30.4,35.73,35.73,1008,87,6.38,244,100
224,Kiama,AU,1653188997,10000,150.8667,-34.6833,60.78,60.28,60.46,64.99,1027,79,7.4,197,91
225,Kigoma,TZ,1653189213,10000,29.6267,-4.8769,72.34,72.99,72.34,72.34,1013,79,5.01,55,37
226,Kirakira,SB,1653189213,10000,161.9205,-10.4544,84.18,90.54,84.18,84.18,1009,69,4.94,31,20
227,Kiruna,SE,1653189213,10000,20.2251,67.8557,40.12,38.01,40.12,40.12,1010,87,3.44,210,75
228,Klaksvík,FO,1653189214,10000,-6.589,62.2266,47.32,41.47,47.32,47.32,1003,91,14.03,181,100
229,Kloulklubed,PW,1653189214,10000,134.2556,7.0419,82.9,89.29,82.9,82.9,1008,74,10.0,154,72
230,Knysna,ZA,1653189214,10000,23.0471,-34.0363,54.57,53.02,54.57,54.57,1024,70,2.82,336,14
231,Saint Paul Harbor,US,1653189214,2012,-152.4072,57.79,47.71,39.47,47.71,47.71,1010,87,26.46,90,100
232,Kodinsk,RU,1653189215,10000,99.1844,58.6881,52.93,50.18,52.93,52.93,1007,48,11.25,305,51
233,Kollo,NE,1653189215,10000,2.339,13.3043,86.56,87.58,86.56,86.56,1010,46,8.08,269,70
234,Yangi Marg`ilon,UZ,1653189215,10000,71.7189,40.4272,63.32,62.31,63.32,63.32,1012,63,6.91,250,75
235,Konispol,AL,1653189215,10000,20.1814,39.6589,54.55,53.19,54.55,61.66,1013,74,1.74,90,5
236,Korla,CN,1653189216,10000,86.1469,41.7597,79.9,79.9,79.9,79.9,1002,12,12.8,48,100
